Experiment	Z spectroscopy	
Saved Date	16.02.2019 17:38:38	
User		
X (m)	75.834E-9	
Y (m)	15.3776E-9	
Z (m)	-16.9806E-9	
Z offset (m)	700E-12	
Z sweep distance (m)	1.12E-9	
Settling time (s)	10E-3	
Integration time (s)	60E-3	
Final Z (m)	N/A	
Start time	16.02.2019 17:37:03	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Z rel (m)	Current (A)	Bias (V)	Z (m)	OC D1 Phase (deg)	OC D1 Amplitude (m)	OC M1 Freq. Shift (Hz)	OC M1 Excitation (V)	Current [bwd] (A)	Bias [bwd] (V)	Z [bwd] (m)	OC D1 Phase [bwd] (deg)	OC D1 Amplitude [bwd] (m)	OC M1 Freq. Shift [bwd] (Hz)	OC M1 Excitation [bwd] (V)
518.19637E-12	-219.70338E-15	0.0000000E+0	-16.462382E-9	-2.9594178E+0	45.113933E-12	-575.09971E-3	241.62605E-6	-243.66655E-15	0.0000000E+0	-16.462382E-9	-2.0161703E+0	52.665969E-12	-530.13414E-3	165.56651E-6
515.95195E-12	-226.67317E-15	0.0000000E+0	-16.464627E-9	2.5983186E+0	50.445502E-12	-83.140448E-3	196.24984E-6	-229.95329E-15	0.0000000E+0	-16.464627E-9	1.1032797E+0	48.713408E-12	-261.99874E-3	208.23923E-6
513.70741E-12	-234.58137E-15	0.0000000E+0	-16.466871E-9	2.2834437E+0	50.649401E-12	-54.436296E-3	188.75465E-6	-248.79724E-15	0.0000000E+0	-16.466871E-9	-3.0928054E+0	53.166735E-12	-620.71127E-3	166.01439E-6
511.46293E-12	-233.99116E-15	0.0000000E+0	-16.469116E-9	2.1334598E+0	47.208789E-12	56.183130E-3	223.85943E-6	-220.53769E-15	0.0000000E+0	-16.469116E-9	-48.868719E-3	51.563531E-12	-276.22151E-3	193.18031E-6
509.21845E-12	-234.94691E-15	0.0000000E+0	-16.471359E-9	-3.6815031E+0	49.457046E-12	-495.67941E-3	203.35281E-6	-249.14288E-15	0.0000000E+0	-16.471359E-9	5.0369043E+0	55.283181E-12	74.280351E-3	163.41443E-6
506.97396E-12	-234.44132E-15	0.0000000E+0	-16.473605E-9	-1.6967715E+0	52.371312E-12	-381.14813E-3	171.43878E-6	-229.06612E-15	0.0000000E+0	-16.473605E-9	2.9878421E+0	53.662748E-12	-217.51595E-3	198.74255E-6
504.72948E-12	-244.33713E-15	0.0000000E+0	-16.475850E-9	-3.1904433E+0	51.291801E-12	-602.10979E-3	171.68385E-6	-243.82520E-15	0.0000000E+0	-16.475850E-9	1.8765651E+0	49.453747E-12	-362.23421E-3	254.11669E-6
502.48500E-12	-235.10894E-15	0.0000000E+0	-16.478094E-9	-3.2432370E+0	58.588419E-12	-729.28900E-3	79.130557E-6	-215.23142E-15	0.0000000E+0	-16.478094E-9	1.3130124E+0	46.959783E-12	-441.80834E-3	269.69815E-6
500.24052E-12	-239.72686E-15	0.0000000E+0	-16.480339E-9	3.1467004E+0	51.510043E-12	-110.32358E-3	133.52523E-6	-251.91405E-15	0.0000000E+0	-16.480339E-9	-1.4027606E+0	45.521992E-12	-682.98006E-3	271.64104E-6
497.99598E-12	-236.83128E-15	0.0000000E+0	-16.482582E-9	1.1720353E+0	46.836167E-12	-243.13723E-3	193.01845E-6	-236.25717E-15	0.0000000E+0	-16.482582E-9	2.9449306E+0	46.014737E-12	-304.40548E-3	249.26921E-6
495.75150E-12	-236.67814E-15	0.0000000E+0	-16.484828E-9	-5.5211439E+0	42.711550E-12	-883.96698E-3	250.51759E-6	-223.72516E-15	0.0000000E+0	-16.484828E-9	1.4028637E+0	60.387757E-12	-534.83361E-3	110.28993E-6
493.50701E-12	-239.67777E-15	0.0000000E+0	-16.487071E-9	5.3939509E+0	51.144752E-12	88.091388E-3	175.37309E-6	-257.97043E-15	0.0000000E+0	-16.487071E-9	804.45790E-3	55.171229E-12	-587.35853E-3	191.18260E-6
491.26253E-12	-237.61443E-15	0.0000000E+0	-16.489317E-9	-924.93051E-3	46.152516E-12	-373.38156E-3	230.36722E-6	-228.13956E-15	0.0000000E+0	-16.489317E-9	-3.4917314E+0	53.177102E-12	-914.23863E-3	227.49799E-6
489.01805E-12	-229.67408E-15	0.0000000E+0	-16.491560E-9	-588.29015E-3	45.731741E-12	-363.30649E-3	258.36236E-6	-242.96510E-15	0.0000000E+0	-16.491560E-9	-4.2968884E+0	48.686801E-12	-881.96588E-3	282.64042E-6
